ID,OrderID,OrderDate,Region,Customer,Category,Product,Quantity,UnitPrice,Sales
1,ORD00001,2024-04-09,East,Customer_497,Electronics,Mouse,8,463,3704
2,ORD00002,2023-04-20,West,Customer_32,Furniture,Table,4,52,208
3,ORD00003,2023-06-07,South,Customer_45,Furniture,Desk,4,431,1724
4,ORD00004,2024-09-04,South,Customer_48,Electronics,Laptop,7,303,2121
5,ORD00005,2024-07-09,West,Customer_32,Office Supplies,Pen,3,495,1485
6,ORD00006,2024-02-23,North,Customer_327,Electronics,Printer,7,956,6692
7,ORD00007,2024-06-22,East,Customer_202,Office Supplies,Pen,8,722,5776
8,ORD00008,2023-02-04,West,Customer_240,Furniture,Table,2,583,1166
9,ORD00009,2024-08-01,East,Customer_53,Furniture,Table,10,821,8210
10,ORD00010,2024-08-31,South,Customer_488,Office Supplies,Stapler,1,396,396
11,ORD00011,2023-02-24,West,Customer_308,Furniture,Desk,2,480,960
12,ORD00012,2023-07-26,East,Customer_487,Electronics,Monitor,10,41,410
13,ORD00013,2024-04-08,East,Customer_367,Office Supplies,Notebook,5,194,970
14,ORD00014,2023-12-21,West,Customer_498,Furniture,Desk,2,655,1310
15,ORD00015,2024-06-14,North,Customer_318,Electronics,Keyboard,10,192,1920
16,ORD00016,2023-12-23,North,Customer_148,Office Supplies,Paper Pack,4,212,848
17,ORD00017,2024-09-02,East,Customer_309,Electronics,Keyboard,6,204,1224
18,ORD00018,2024-05-11,West,Customer_450,Electronics,Printer,3,133,399
19,ORD00019,2023-08-21,North,Customer_349,Furniture,Cupboard,7,282,1974
20,ORD00020,2023-08-16,South,Customer_70,Furniture,Table,6,694,4164
21,ORD00021,2024-12-31,North,Customer_291,Office Supplies,Stapler,10,292,2920
22,ORD00022,2023-09-12,East,Customer_73,Furniture,Cupboard,4,290,1160
23,ORD00023,2023-03-21,West,Customer_83,Electronics,Monitor,6,881,5286
24,ORD00024,2023-03-09,North,Customer_305,Furniture,Desk,3,968,2904
25,ORD00025,2024-03-22,East,Customer_367,Furniture,Chair,1,870,870
26,ORD00026,2024-12-19,North,Customer_403,Furniture,Table,2,149,298
27,ORD00027,2024-11-21,North,Customer_230,Electronics,Monitor,10,325,3250
28,ORD00028,2024-04-26,South,Customer_445,Electronics,Laptop,6,27,162
29,ORD00029,2023-10-07,South,Customer_54,Office Supplies,Notebook,10,48,480
30,ORD00030,2024-12-13,East,Customer_338,Office Supplies,Stapler,4,273,1092
31,ORD00031,2024-09-11,North,Customer_387,Office Supplies,Stapler,9,446,4014
32,ORD00032,2024-08-20,East,Customer_92,Electronics,Keyboard,10,948,9480
33,ORD00033,2023-04-11,West,Customer_239,Furniture,Chair,3,384,1152
